Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
SDN,ARE,,,,,,,,,,,,,,,,,,,5,8,11,14,14,14,8,8,8,8,8,7,7,18,18,17,15
DEU,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
UGA,GBR,,,,,,,,,,,,,,905,1442,1734,1757,2866,3907,3893,3865,3838,3879,3620,,3150,3195,2335,1624,1818,1863,1870,1816,1760,1601
IRN,JPN,,,,,,,,,,50,,,,,,,,,,,,5,2,2,13,16,30,39,39,39,37,43,42,36,31
PHL,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,1
ZAF,LSO,190,900,930,990,500,10000,11500,11500,11500,11660,11500,11500,4000,4230,4248,212,208,103,35,35,,,,,,,,,,,,,,,
PRY,USA,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,4,,11,9,10,14,19,19,19,22
COL,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
MUS,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,9,9,9,9
KHM,NLD,,,,,,,,,,,,,,,,,,95,95,95,99,104,102,102,,31,40,40,41,41,41,46,14,14,19
MWI,MOZ,30000,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,,
BRN,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
COL,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,8,14,18
SOM,TUR,,,,,,,,,,,,,,,,,,,,,,,25,17,12,11,13,23,29,70,66,139,668,862,922
LKA,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,17403,15121,12850,15304,5832,6388,6594,12248
ARG,DNK,,,,,,,,,,,,,,,73,36,26,7,7,7,7,7,,,,,,,,,,,,,
AFG,TJK,,,,,,,,,,,,,,,,,,3000,300,695,928,1161,2164,3622,4531,15354,15336,3427,3304,1816,1006,917,1126,1790,2673
ERI,UGA,,,,,,,,,,,,,,,,,,,,,,,,2,16,27,3,3,10,12,4,6,139,796,3046
